timestamp,lat,long,speed,heading,duck_id,taxon
2007-11-23T23:00:00Z,47.73017,8.9995,NA,NA,Argos 77188A,Anas platyrhynchos
2007-11-24T05:00:00Z,47.73017,8.9995,NA,NA,Argos 77188A,Anas platyrhynchos
2007-11-26T05:00:00Z,47.73017,8.9995,NA,NA,Argos 77188A,Anas platyrhynchos
2007-11-26T23:00:00Z,47.73,8.9995,NA,NA,Argos 77188A,Anas platyrhynchos
2007-11-27T05:00:00Z,47.73,8.9996,NA,NA,Argos 77188A,Anas platyrhynchos
2007-11-27T23:00:00Z,47.73,8.9996,NA,NA,Argos 77188A,Anas platyrhynchos
2007-11-23T09:00:00Z,47.73017,8.9995,NA,NA,Argos 77189A,Anas platyrhynchos
2007-11-24T09:00:00Z,47.73,8.9995,NA,NA,Argos 77189A,Anas platyrhynchos
2007-11-24T17:00:00Z,47.73017,8.9995,NA,NA,Argos 77189A,Anas platyrhynchos
2007-11-25T05:00:00Z,47.73017,8.9995,NA,NA,Argos 77189A,Anas platyrhynchos
2007-11-25T09:00:00Z,47.73017,8.9995,NA,NA,Argos 77189A,Anas platyrhynchos
2007-11-26T09:00:00Z,47.73,8.9995,NA,NA,Argos 77189A,Anas platyrhynchos
2007-11-26T17:00:00Z,47.73,8.9995,NA,NA,Argos 77189A,Anas platyrhynchos
2007-11-27T09:00:00Z,47.73,8.9995,NA,NA,Argos 77189A,Anas platyrhynchos
2007-11-27T17:00:00Z,47.73017,8.9996,NA,NA,Argos 77189A,Anas platyrhynchos
2008-02-02T13:00:00Z,47.739,8.9851,NA,NA,Argos 77189A,Anas platyrhynchos
2008-02-04T13:00:00Z,47.696,9.012,NA,NA,Argos 77189A,Anas platyrhynchos
2008-02-17T05:00:00Z,47.7295,8.99,NA,NA,Argos 77189A,Anas platyrhynchos
2008-02-18T05:00:00Z,47.74117,8.9971,NA,NA,Argos 77189A,Anas platyrhynchos
2008-02-19T05:00:00Z,47.741,8.9973,NA,NA,Argos 77189A,Anas platyrhynchos
2008-03-03T17:00:00Z,47.73083,8.9861,NA,NA,Argos 77189A,Anas platyrhynchos
2008-03-03T23:00:00Z,47.72983,8.9881,NA,NA,Argos 77189A,Anas platyrhynchos
2008-03-04T13:00:00Z,47.73033,8.9873,NA,NA,Argos 77189A,Anas platyrhynchos
